age,rs_surviving
45,6
18,0
22,0
18,1
18,0
55,4
56,5
41,4
19,0
45,7
19,0
36,5
20,0
73,2
56,4
37,5
34,4
47,6
48,2
68,5
24,3
20,0
42,4
30,2
37,5
24,2
33,7
35,6
28,4
68,5
25,3
18,0
50,8
18,0
26,2
38,6
28,5
30,5
59,0
18,0
31,6
40,6
28,6
23,1
52,8
28,0
25,0
58,9
35,5
57,9
46,9
35,2
35,4
67,7
47,9
52,8
25,4
31,3
54,4
18,0
26,2
30,6
26,4
25,4
37,4
25,1
28,0
75,3
56,4
19,1
19,0
27,3
35,4
41,4
28,2
40,9
25,3
18,0
30,6
20,0
27,4
25,2
30,4
35,2
50,7
25,0
41,6
45,7
37,8
35,5
55,8
28,4
55,2
48,6
18,0
32,5
55,8
38,7
35,2
25,2
30,4
39,8
18,0
35,4
35,2
55,8
50,9
22,0
50,4
25,3
45,6
27,2
26,1
28,4
22,3
27,2
26,4
35,7
26,6
26,3
35,3
50,5
50,4
20,0
27,3
25,1
50,10
40,3
27,3
20,1
28,5
22,2
18,0
40,4
35,6
35,6
20,1
40,4
40,8
50,4
22,1
55,5
19,1
25,2
27,2
22,1
23,2
37,5
35,3
33,3
48,3
20,0
19,0
26,1
60,5
26,0
46,9
28,3
32,0
22,1
37,4
50,9
19,0
20,1
30,3
19,0
22,0
21,1
34,6
19,0
30,3
51,5
30,3
19,1
28,0
60,6
25,2
30,4
55,9
49,3
50,1
55,7
25,0
46,9
19,0
32,5
19,0
20,1
28,0
45,1
25,2
30,3
25,0
25,1
35,5
20,1
19,1
35,6
25,1
55,6
50,8
27,1
20,0
42,9
50,7
35,5
40,5
30,5
19,0
31,5
20,0
20,1
50,5
55,3
40,3
45,3
35,3
40,4
19,0
50,2
27,3
45,7
25,2
