rs_surviving,age
4,79
7,75
4,74
7,70
4,70
5,66
7,60
0,59
1,59
5,58
4,57
5,57
5,55
7,55
5,55
0,54
3,54
7,53
5,52
3,52
4,52
6,51
10,51
6,50
7,50
9,50
7,50
5,50
3,49
6,48
5,48
4,47
1,46
10,46
4,46
7,45
8,45
4,44
5,43
8,43
4,43
5,42
10,41
6,40
10,40
8,39
7,39
5,39
7,39
7,39
8,38
6,38
5,38
5,38
8,37
7,37
5,37
5,36
7,36
3,35
7,35
6,34
4,34
8,34
1,33
4,33
4,32
6,32
5,32
3,32
4,32
0,31
4,31
4,30
5,30
3,30
7,30
2,30
4,30
3,29
5,29
3,28
0,28
5,28
4,27
4,27
3,27
3,27
0,26
0,26
1,26
4,25
2,25
2,25
0,25
4,25
3,25
1,24
2,24
4,24
4,24
2,23
2,23
0,23
2,23
1,22
0,22
2,22
3,22
2,21
3,21
1,21
1,21
0,21
0,21
2,21
1,21
3,21
1,21
1,21
2,20
1,20
1,20
0,20
3,20
2,20
0,20
0,20
0,19
0,19
0,19
0,19
1,19
0,19
1,19
0,18
1,18
0,18
0,18
0,17
0,17
0,17
0,17
0,16
0,16
0,16
0,16
0,16
0,16
0,15
0,14
